Food Name,Carbohydrate Value
BAJRA,67.5
BARLEY,69.6
ITALIAN MILLET,60.9
JOWAR,72.6
"MAIZE,dry",66.2
"MAIZE, tender",24.6
PANIVARAGU,70.4
RAGI,72.0
"RICE, parboiled, handpounded",77.4
"RICE, parboiled,milled",79.0
"RICE, raw, handpounded",76.7
"RICE, raw, milled",78.2
"RICE, bran",48.4
"RICE, flakes",77.3
"RICE, puffed",73.6
SAMAI,67.0
SANWA MILLET,65.5
VARAGU,65.9
"WHEAT, bulgar (parboiled)",77.2
"WHEAT, whole",71.2
"WHEAT, flour(whole)",69.4
"WHEAT, flour(refined)",73.9
"WHEAT, germ",53.3
"WHEAT, semolina",74.8
"WHEAT, vermicelli",78.3
"WHEAT, bread, (brown)",49.0
"WHEAT, bread, (white)",51.9
"BENGAL GRAM, whole",60.9
"BENGAL GRAM, dhal",59.8
"BENGAL GRAM, roasted",58.1
"BLACK GRAM, dhal",59.6
COWPEA,54.5
"FIELD BEAN, dry",60.1
"GREEN GRAM, whole",56.7
"GREEN GRAM, dhal",59.9
"HORSE GRAM, whole",57.2
"KHESARI, dhal",56.6
LENTIL,59.0
MOTH BEANS,56.5
PEAS green,15.9
"PEAS, dry",56.5
"PEAS, roasted",58.8
RAJMAH,60.6
"RED GRAM, dhal",57.6
"RED GRAM, tender",16.9
SOYABEAN,20.9
AGATHI,11.8
AMARANTH caudatus,2.0
"AMARANTH, tender gangeticus",6.1
"AMARANTH, stem gangeticus",3.5
"AMARANTH, paniculatus",8.6
"AMARANTH, polygonoides",4.8
"AMARANTH, spinosus",7.0
AMARANTH species (Chakravarthikeerai),8.5
AMARANTH species (koyakeerai),5.3
AMARANTH tristis,7.4
"AMARANTH, viridis",3.8
AMBAT CHUKA,1.4
BATHUA LEAVES,2.9
BEET GREENS,6.5
BENGAL GRAM LEAVES,14.1
BETEL LEAVES,6.1
BOTTLE GOURD LEAVES,6.1
BROAD BEAN LEAVES,11.5
BRUSSELS SPROUTS,7.1
CABBAGE,4.6
CARROT LEAVES,13.1
CAULIFLOWER LEAVES,7.6
CELERY LEAVES,1.6
CELERY STALK,3.5
CHEKKUR MANIS,11.6
COLOCASIA LEAVES (black variety),8.1
COLOCASIA LEAVES (green variety),6.8
COLACASIA LEAVES (dried),42.3
CORIANDER LEAVES,6.3
COW PEA LEAVES,4.1
CURRY LEAVES,18.7
DRUMSTICK LEAVES,12.5
FENUGREEK LEAVES,6.0
"FETID CASSIA, fresh",5.5
FETID CASSIA (dried),43.5
GARDEN CRESS,8.7
GARDEN SORREL (sepals),5.1
GOGU,9.9
IPOMOEA STEMS,3.4
IPOMOEA LEAVES,3.1
KNOL-KHOL GREENS,6.4
KUPPAMENI,6.0
LETTUCE,2.5
"LETTUCE TREE LEAVES, mature",10.2
