Food Name,Energy Value
BAJRA,361.0
BARLEY,336.0
ITALIAN MILLET,331.0
JOWAR,349.0
"MAIZE,dry",342.0
"MAIZE, tender",125.0
PANIVARAGU,341.0
RAGI,328.0
"RICE, parboiled, handpounded",349.0
"RICE, parboiled,milled",346.0
"RICE, raw, handpounded",346.0
"RICE, raw, milled",345.0
"RICE, bran",393.0
"RICE, flakes",346.0
"RICE, puffed",325.0
SAMAI,341.0
SANWA MILLET,307.0
VARAGU,309.0
"WHEAT, bulgar (parboiled)",356.0
"WHEAT, whole",346.0
"WHEAT, flour(whole)",341.0
"WHEAT, flour(refined)",348.0
"WHEAT, germ",397.0
"WHEAT, semolina",348.0
"WHEAT, vermicelli",352.0
"WHEAT, bread, (brown)",244.0
"WHEAT, bread, (white)",245.0
"BENGAL GRAM, whole",360.0
"BENGAL GRAM, dhal",372.0
"BENGAL GRAM, roasted",369.0
"BLACK GRAM, dhal",347.0
COWPEA,323.0
"FIELD BEAN, dry",347.0
"GREEN GRAM, whole",334.0
"GREEN GRAM, dhal",348.0
"HORSE GRAM, whole",321.0
"KHESARI, dhal",345.0
LENTIL,343.0
MOTH BEANS,330.0
PEAS green,93.0
"PEAS, dry",315.0
"PEAS, roasted",340.0
RAJMAH,346.0
"RED GRAM, dhal",335.0
"RED GRAM, tender",116.0
SOYABEAN,432.0
AGATHI,93.0
AMARANTH caudatus,26.0
"AMARANTH, tender gangeticus",45.0
"AMARANTH, stem gangeticus",19.0
"AMARANTH, paniculatus",67.0
"AMARANTH, polygonoides",33.0
"AMARANTH, spinosus",43.0
AMARANTH species (Chakravarthikeerai),57.0
AMARANTH species (koyakeerai),37.0
AMARANTH tristis,44.0
"AMARANTH, viridis",38.0
AMBAT CHUKA,15.0
BATHUA LEAVES,30.0
BEET GREENS,46.0
BENGAL GRAM LEAVES,97.0
BETEL LEAVES,44.0
BOTTLE GOURD LEAVES,39.0
BROAD BEAN LEAVES,71.0
BRUSSELS SPROUTS,52.0
CABBAGE,27.0
CARROT LEAVES,77.0
CAULIFLOWER LEAVES,66.0
CELERY LEAVES,37.0
CELERY STALK,18.0
CHEKKUR MANIS,103.0
COLOCASIA LEAVES (black variety),77.0
COLOCASIA LEAVES (green variety),56.0
COLACASIA LEAVES (dried),277.0
CORIANDER LEAVES,44.0
COW PEA LEAVES,38.0
CURRY LEAVES,108.0
DRUMSTICK LEAVES,92.0
FENUGREEK LEAVES,49.0
"FETID CASSIA, fresh",49.0
FETID CASSIA (dried),292.0
GARDEN CRESS,67.0
GARDEN SORREL (sepals),25.0
GOGU,56.0
IPOMOEA STEMS,19.0
IPOMOEA LEAVES,28.0
KNOL-KHOL GREENS,43.0
KUPPAMENI,64.0
LETTUCE,21.0
"LETTUCE TREE LEAVES, mature",65.0
"LETTUCE TREE LEAVES, tender",29.0
MENATHAKKALI LEAVES,68.0
MAYALU,32.0
MINT,48.0
MODAKANTHAN KEERAI,61.0
MUKARRATE KEERAI,61.0
MUSTARD LEAVES,34.0
NEERINGI,68.0
PARSLEY,87.0
PARUPPU KEERAI,27.0
PONNANGANNI,73.0
PUMPKIN LEAVES,57.0
RADISH LEAVES,28.0
TABLE RADISH LEAVES,38.0
RAPE LEAVES,29.0
RAPE LEAVES,48.0
RAPE LEAVES (dried),297.0
SAFFLOWER LEAVES,33.0
SHEPU,37.0
SPINACH,26.0
SPINACH stalks,20.0
SUSNI SAG,46.0
