Food Name,Fat Value
BAJRA,5.0
BARLEY,1.3
ITALIAN MILLET,4.3
JOWAR,1.9
"MAIZE,dry",3.6
"MAIZE, tender",0.9
PANIVARAGU,1.1
RAGI,1.3
"RICE, parboiled, handpounded",0.6
"RICE, parboiled,milled",0.4
"RICE, raw, handpounded",1.0
"RICE, raw, milled",0.5
"RICE, bran",16.2
"RICE, flakes",1.2
"RICE, puffed",0.1
SAMAI,4.7
SANWA MILLET,2.2
VARAGU,1.4
"WHEAT, bulgar (parboiled)",1.6
"WHEAT, whole",1.5
"WHEAT, flour(whole)",1.7
"WHEAT, flour(refined)",0.9
"WHEAT, germ",7.4
"WHEAT, semolina",0.8
"WHEAT, vermicelli",0.4
"WHEAT, bread, (brown)",1.4
"WHEAT, bread, (white)",0.7
"BENGAL GRAM, whole",5.3
"BENGAL GRAM, dhal",5.6
"BENGAL GRAM, roasted",5.2
"BLACK GRAM, dhal",1.4
COWPEA,1.0
"FIELD BEAN, dry",0.8
"GREEN GRAM, whole",1.3
"GREEN GRAM, dhal",1.2
"HORSE GRAM, whole",0.5
"KHESARI, dhal",0.6
LENTIL,0.7
MOTH BEANS,1.1
PEAS green,0.1
"PEAS, dry",1.1
"PEAS, roasted",1.4
RAJMAH,1.3
"RED GRAM, dhal",1.7
"RED GRAM, tender",1.0
SOYABEAN,19.5
AGATHI,1.4
AMARANTH caudatus,0.7
"AMARANTH, tender gangeticus",0.5
"AMARANTH, stem gangeticus",0.1
"AMARANTH, paniculatus",1.0
"AMARANTH, polygonoides",0.3
"AMARANTH, spinosus",0.3
AMARANTH species (Chakravarthikeerai),0.6
AMARANTH species (koyakeerai),0.5
AMARANTH tristis,0.4
"AMARANTH, viridis",0.3
AMBAT CHUKA,0.3
BATHUA LEAVES,0.4
BEET GREENS,0.8
BENGAL GRAM LEAVES,1.4
BETEL LEAVES,0.8
BOTTLE GOURD LEAVES,0.7
BROAD BEAN LEAVES,0.3
BRUSSELS SPROUTS,0.5
CABBAGE,0.1
CARROT LEAVES,0.5
CAULIFLOWER LEAVES,1.3
CELERY LEAVES,0.6
CELERY STALK,0.1
CHEKKUR MANIS,3.2
COLOCASIA LEAVES (black variety),2.0
COLOCASIA LEAVES (green variety),1.5
COLACASIA LEAVES (dried),5.9
CORIANDER LEAVES,0.6
COW PEA LEAVES,0.7
CURRY LEAVES,1.0
DRUMSTICK LEAVES,1.7
FENUGREEK LEAVES,0.9
"FETID CASSIA, fresh",0.8
FETID CASSIA (dried),3.9
GARDEN CRESS,1.0
GARDEN SORREL (sepals),0.2
GOGU,1.1
IPOMOEA STEMS,0.2
IPOMOEA LEAVES,0.4
KNOL-KHOL GREENS,0.4
KUPPAMENI,1.4
LETTUCE,0.3
"LETTUCE TREE LEAVES, mature",0.4
"LETTUCE TREE LEAVES, tender",0.2
MENATHAKKALI LEAVES,1.0
MAYALU,0.4
MINT,0.6
MODAKANTHAN KEERAI,0.6
MUKARRATE KEERAI,0.9
MUSTARD LEAVES,0.6
NEERINGI,0.5
PARSLEY,1.0
PARUPPU KEERAI,0.6
PONNANGANNI,0.7
PUMPKIN LEAVES,0.8
RADISH LEAVES,0.4
TABLE RADISH LEAVES,0.6
RAPE LEAVES,0.1
RAPE LEAVES,0.4
RAPE LEAVES (dried),2.9
SAFFLOWER LEAVES,0.6
SHEPU,0.5
SPINACH,0.7
SPINACH stalks,0.1
SUSNI SAG,1.4
"TAMARIND LEAVES, tender",2.1
TURNIP GREENS,1.5
ARROW ROOT FLOUR,0.1
BANANA RHIZOME,0.2
BEET ROOT,0.1
CARROT,0.2
COLOCASIA,0.1
KHAMALU,0.1
MANGO GINGER,0.7
"ONION, big",0.1
"ONION, small",0.1
PARSNIP,0.3
POTATO,0.1
"RADISH, pink",0.3
RADISH rat-tailed,0.3
"RADHISH, table",0.1
"RADISH, white",0.1
SWEET POTATO,0.3
TAPIOCA,0.2
"TAPIOCA, chips, dried",0.3
TURNIP,0.2
"YAM, elephant",0.1
"YAM, ordinary",0.1
"YAM, wild",0.3
ASH GUARD,0.1
"BEANS, scarlet runner",1.0
BITTER GOURD,0.2
"BITTER GOURD, small",1.0
BOTTLE GOURD,0.1
BRINJAL,0.3
BROAD BEANS,0.1
CAULIFLOWER,0.4
CHO-CHO-MARROW,0.1
CLUSTER BEANS,0.4
COLOCASIA STEM,0.3
COW PEA PODS,0.2
CUCUMBER,0.1
DOUBLE BEANS,0.3
DRUM STICK,0.1
DRUMSTICK flowers,0.8
"FIELD BEANS, tender",0.7
"FIGS, red (Ficus cunia)",0.6
FRENCH BEANS,0.1
GHOSALA,0.2
GIANT CHILLIES (capsicum),0.3
"JACK, tender",0.3
"JACK, fruit seed",0.4
KANKODA,1.0
KARONDA fresh,2.9
KARONDA dry,9.6
KHEKSA,0.1
KOVAI,0.1
KNOL-KHOL,0.2
LADIES FINGERS,0.2
"LAKUCH, raw",1.2
LEEKS,0.1
"LOTUS STEM, dry",1.3
MANGO GREEN,0.1
ONION STALKS,0.2
PAPAYA GREEN,0.2
PARWAR,0.3
PINK BEANS,0.4
PLANTAIN FLOWER,0.7
"PLANTAIN, green",0.2
"PLANTAIN, stem",0.1
PUMPKIN,0.1
PUMPKIN flowers,0.8
RIDGE GOURD,0.1
SNAKE GOURD,0.3
"SUNDAKAI, dry",1.7
SWORD BEANS,0.2
"TINDA, tender",0.2
"TOMOTO, green",0.1
VEGETABLE MARROW,0.1
"WATER CHEST NUT, fresh",0.3
"WATER CHESTNUT, dry",0.8
ALMOND,58.9
ARECANUT,4.4
AVOCADOPEAR (nut),0.7
CASHEWNUT,46.9
CHILGOZA,49.3
"COCONUT,dry",62.3
"COCONUT, fresh",41.6
COCONUT tender,1.4
"COCONUT, milk",41.0
"COCONUT, water",0.1
"COCONUT, meal deoiled",2.8
GARDEN CRESS SEEDS,24.5
GINGELLY SEEDS,43.3
GROUNDNUT,40.1
"GROUNDNUT, roasted",39.8
GROUNDNUT CAKE,7.4
LINSEED,37.1
MUSTARD SEEDS,39.7
NIGER SEEDS,39.0
PISTACHIONUT,53.5
PIYAL SEEDS,59.1
SAFFLOWER SEEDS,25.6
SUNFLOWER SEEDS,52.1
WALNUT,64.5
WATER MELON SEEDS (kernal),52.6
ARISITHIPPILI,4.7
ASAFOETIDA,1.1
CARDAMOM,2.2
"CHILLIES, dry",6.2
"CHILLIES, green",0.6
"CLOVES, dry",8.9
"CLOVES, green",5.9
CORIANDER,16.1
CUMIN SEEDS,15.0
FENUGREEK SEEDS,5.8
"GARLIC, dry",0.1
"GINGER, fresh",0.9
LIME PEEL,0.5
MACE,24.4
MANGO POWDER,7.8
NUTMEG,36.4
NUTMEG rind,0.4
OMUM,21.8
"PEPPER, dry",6.8
"PEPPER, green",2.7
PEPPALI,2.3
POPPY SEEDS,19.3
TAMARIND PULP,0.1
TURMERIC,5.1
AMBADA,3.0
AMLA,0.1
APPLE,0.5
"APRICOT, fresh",0.3
"APRICOT, dried",0.7
AVOCADO PEAR,22.8
BAEL FRUIT,0.3
BANANA RIPE,0.3
BANYAN TREE FIGS,2.0
BILIMBI,0.3
BREAD FRUIT,0.2
BULLOCK'S HEART,0.2
CAPE GOOSEBERRY,0.2
CASHEW FRUIT,0.1
"CHERRIES, red",0.5
"CURRANTS, black",0.5
"DATES, dried",0.4
DATES fresh,0.4
FIGS (Ficus carcia),0.2
"GRAPES, blue variety",0.4
"GRAPES, Pale green variety",0.3
"GRAPE FRUIT, Marsh's seedless",0.1
"GRAPE FRUIT, triumph",0.1
"GUAVA, country",0.3
"GUAVA, hill",0.2
HARFAROWRIE,0.6
JACK FRUIT,0.1
"JAMB, safed",0.4
JAMBU FRUIT,0.3
KORUKKAPALLI,0.4
LAKUCH,1.1
LEMON,0.9
LEMON SWEET,0.3
LICHI,0.2
"LICHIES, bastard",0.3
LIME,1.0
"LIME, sweet, malta",0.2
"LIME, sweet, musambi",0.3
LOQUAT,0.3
MAHUA,1.6
MANGO RIPE,0.4
MANGOSTEEN,0.1
"MELON, musk",0.2
"MELON, sweeter",0.2
MULBERRY,0.4
ORANGE,0.2
ORANGE JUICE,0.1
PALMYRA FRUIT ripe (mesocarp),0.2
"PALMYRA FRUIT, tender",0.1
"PAPAYA, ripe",0.1
PASSION FRUIT,0.1
PASSION FRUIT JUICE,0.2
PEACHES,0.3
PEARS,0.2
PERSIMMON,0.2
PHALSA,0.9
PINE APPLE,0.1
PLUM,0.5
POMEGRANATE,0.1
PRUNES,0.3
PUMMELO,0.1
QUINCE,0.1
RAISINS,0.3
RASPBERRY,0.6
ROSE APPLE,0.2
SAPOTA,1.1
SEETHAPHAL,0.4
STRAWBERRY,0.2
TOMATO RIPE,0.2
TOMATILO,0.6
TREE TOMATO,0.2
WOOD APPLE,3.7
ZIZYPHUS,0.3
AIR,1.3
ANCHOVY,9.6
BACHA,5.6
BAM,0.9
BASPATA MACHLI,4.4
"BATA, small varieties",2.5
BELEY,0.6
"BHANGER, fresh",8.8
BHAGON dried,2.3
BHANGAN BATA,4.4
BHEKTI fresh,0.8
BHEKTI dried,2.0
BHOLA,1.1
BIG JAWED JUMPER,5.8
BOAL,2.7
"BOMBAY DUCK, dried",4.0
BLUE MUSSEL,2.0
CAT FISH,0.0
CHELA,4.3
CHELA dried,17.0
CHINGRI small dried,3.9
"CHINGRI goda, dried",3.2
CHITAL,2.3
CRAB muscle,1.1
CRAB small,9.8
FOLUI,1.0
GHOL,0.9
GOGGLER,1.6
"HERRING, Indian",3.2
HERRING ox-eyed,2.2
HILSA,19.4
HORSE MACKEREL,1.6
INDIAN WHITING,0.6
JEW FISH (kora),0.8
JEW FISH (pallikora),2.2
KALABASU,1.0
KATLA,2.4
KHORSULA,5.1
KHOYRA fresh,3.0
KHOYRA dried,6.2
KOI,8.8
KOOCHA MACHLI,0.8
LATA,0.6
LOBSTER,0.9
MACKEREL,1.7
MAGUR,1.0
MAHASOLE,2.3
"MANDELI, dried",5.4
MRIGAL,0.8
MULLET,7.8
MUSHI dried,4.9
"MUSSEL, fresh water",1.6
"MUTIJELLA, dried",2.4
OIL SARDINE,2.0
PABDA,2.1
PANGAS,10.8
PARSEY fresh,5.9
PARSEY dried,4.4
"POMFRETS, black",2.6
"POMFRETS, white",1.3
PRAWN,1.0
PUTI,2.4
RAVAS,1.1
RAY,0.5
RIBBON FISH fresh,3.2
RIBBON FISH dried,8.7
ROHU,1.4
SARDINE,1.9
SARPUTI,9.5
SHARK,0.4
"SHRIMP (small, dried)",8.5
SEER,4.0
SILVER BELLY,1.6
SINGHALA,3.1
SINGHI,0.6
SOLE,2.3
SOLE (malahar),4.7
SURMAI fresh,1.4
SURMAI dried,6.2
TAPRA (dried),9.0
TAPSI (dried),12.1
TARTOOR,0.2
TENGRA fresh,6.4
TENGRA dried,3.9
TUNNY,1.6
WHITE BAIT,1.4
BEEF meal,10.3
BEEF muscle,2.6
BUFFALO MEAT,0.9
DUCK,4.8
"EGG, duck",13.7
"EGG, hen",13.3
"EGG, turtle",6.7
FINCH,3.0
FOWL,0.6
GOAT MEAT (lean),3.6
GREY QUAIL,1.7
LIVER GOA5,3.0
LIVER SHEEP,7.5
"MUTTON, muscle",13.3
PIGEON,4.9
"PORK, muscle",4.4
RUFF AND REEVE,2.3
"SNAIL, small",1.0
"SNAIL, big",0.6
TURTLE'S MEAT,1.5
VENISON,0.6
MILK (ass),1.5
MILK (buffalo),6.5
MILK (cow),4.1
MILK (goat),4.5
MILK (human),3.4
CURDS (cow milk),4.0
BUTTER MILK,1.1
"SKIMMED MILK, liquid",0.1
CHANNA (cow milk),20.8
CHANNA ( buffalo milk),23.0
CHEESE,25.1
KHOA (whole buffalo milk),31.2
KHOA (skimmed buffalo milk),1.6
KHOA (whole cow milk),25.9
SKIMMED MILK POWDER (cow milk),0.1
WHOLE MILK POWDER (cow milk),26.7
BUTTER,81.0
GHEE (cow),100.0
GHEE (buffalo),100.0
HYDROGENATED OIL (fortified),100.0
"COOKING OIL (Gnut,ging,palm,must,coconut",100.0
SUGAR CANE,0.0
HONEY,0.0
JAGGERY (cane),0.1
JAGGERY (coconut),0.2
JAGGERY (date palm),0.3
JAGGERY (fan palm),0.1
JAGGERY (sago palm),0.1
SAGO,0.2
PACHWAI (Assam),1.8
"TODDY, fermented",0.3
"TODDY, sweet",0.3
NEERA,0.0
SUGAR CANE JUICE,0.2
AMARANTH SEEDS,1.9
BAMBOO SEEDS,1.2
BANTI,4.3
BUCK WHEAT,2.4
CHENOPODIUM ALBUM SEEDS,7.3
COWAGE SEED FLOUR,7.0
DAINCHA SEEDS,3.8
