Food Name,Magnesium,Sodium,Potassium,Copper,Manganese,Molybdenum,Zinc,Chromium,Sulphur,Chlorine,Calcium,Phosphorus,Iron
BAJRA,137.0,10.9,307.0,1.1,1.2,0.1,3.1,0.0,147.0,39.0,42.0,296.0,8.0
BARLEY,21.0,0.0,0.0,1.2,1.0,0.0,1.2,0.0,130.0,91.0,26.0,215.0,1.67
ITALIAN MILLET,81.0,4.6,250.0,1.4,0.6,0.1,2.4,0.0,171.0,37.0,31.0,290.0,2.8
JOWAR,171.0,7.3,131.0,0.5,0.8,0.0,1.6,0.0,54.0,44.0,25.0,222.0,4.1
"MAIZE,dry",139.0,15.9,286.0,0.4,0.5,0.0,2.8,0.0,114.0,33.0,10.0,348.0,2.3
"MAIZE, tender",40.0,51.7,151.0,0.0,0.0,0.0,0.0,0.0,61.0,34.0,9.0,121.0,1.1
PANIVARAGU,153.0,8.2,113.0,1.6,0.6,0.0,1.4,0.0,157.0,19.0,14.0,206.0,0.8
RAGI,137.0,11.0,408.0,0.5,5.5,0.1,2.3,0.0,160.0,44.0,344.0,283.0,3.9
"RICE, parboiled, handpounded",157.0,0.0,0.0,0.2,1.1,0.1,1.4,0.0,0.0,0.0,10.0,280.0,2.8
"RICE, parboiled,milled",76.0,0.0,0.0,0.2,0.7,0.1,1.4,0.0,0.0,0.0,9.0,143.0,1.0
"RICE, raw, handpounded",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,190.0,3.2
"RICE, raw, milled",77.0,0.0,0.0,0.1,0.6,0.1,1.4,0.0,0.0,0.0,10.0,160.0,0.7
"RICE, bran",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1410.0,35.0
"RICE, flakes",101.0,10.9,154.0,0.4,0.0,0.0,0.0,0.0,105.0,17.0,20.0,238.0,20.0
"RICE, puffed",0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,150.0,6.6
SAMAI,133.0,0.0,129.0,1.0,0.7,0.0,3.7,0.2,149.0,13.0,17.0,220.0,9.3
SANWA MILLET,82.0,4.6,0.0,0.6,1.0,0.0,3.0,0.1,0.0,0.0,20.0,280.0,5.0
VARAGU,147.0,4.5,144.0,1.6,1.1,0.0,0.7,0.0,136.0,11.0,27.0,188.0,0.5
"WHEAT, bulgar (parboiled)",144.0,17.1,260.0,0.6,0.0,0.0,0.0,0.0,143.0,22.0,37.0,298.0,4.9
"WHEAT, whole",138.0,20.0,284.0,0.7,2.3,0.1,2.7,0.0,128.0,47.0,41.0,306.0,5.3
