Food Name,Protein Value
BAJRA,11.6
BARLEY,11.5
ITALIAN MILLET,12.3
JOWAR,10.4
"MAIZE,dry",11.1
"MAIZE, tender",4.7
PANIVARAGU,12.5
RAGI,7.3
"RICE, parboiled, handpounded",8.5
"RICE, parboiled,milled",6.4
"RICE, raw, handpounded",7.5
"RICE, raw, milled",6.8
"RICE, bran",13.5
"RICE, flakes",6.6
"RICE, puffed",7.5
SAMAI,7.7
SANWA MILLET,6.2
VARAGU,8.3
"WHEAT, bulgar (parboiled)",8.2
"WHEAT, whole",11.8
"WHEAT, flour(whole)",12.1
"WHEAT, flour(refined)",11.0
"WHEAT, germ",29.2
"WHEAT, semolina",10.4
"WHEAT, vermicelli",8.7
"WHEAT, bread, (brown)",8.8
"WHEAT, bread, (white)",7.8
"BENGAL GRAM, whole",17.1
"BENGAL GRAM, dhal",20.8
"BENGAL GRAM, roasted",22.5
"BLACK GRAM, dhal",24.0
COWPEA,24.1
"FIELD BEAN, dry",24.9
"GREEN GRAM, whole",24.0
"GREEN GRAM, dhal",24.5
"HORSE GRAM, whole",22.0
"KHESARI, dhal",28.2
LENTIL,25.1
MOTH BEANS,23.6
PEAS green,7.2
"PEAS, dry",19.7
"PEAS, roasted",22.9
RAJMAH,22.9
"RED GRAM, dhal",22.3
"RED GRAM, tender",9.8
SOYABEAN,43.2
AGATHI,8.4
AMARANTH caudatus,3.0
"AMARANTH, tender gangeticus",4.0
"AMARANTH, stem gangeticus",0.9
"AMARANTH, paniculatus",5.9
"AMARANTH, polygonoides",2.8
"AMARANTH, spinosus",3.0
AMARANTH species (Chakravarthikeerai),4.5
AMARANTH species (koyakeerai),2.8
AMARANTH tristis,2.8
"AMARANTH, viridis",5.2
AMBAT CHUKA,1.6
BATHUA LEAVES,3.7
BEET GREENS,3.4
BENGAL GRAM LEAVES,7.0
BETEL LEAVES,3.1
BOTTLE GOURD LEAVES,2.3
BROAD BEAN LEAVES,5.6
BRUSSELS SPROUTS,4.7
CABBAGE,1.8
CARROT LEAVES,5.1
CAULIFLOWER LEAVES,5.9
CELERY LEAVES,6.3
CELERY STALK,0.8
CHEKKUR MANIS,6.8
COLOCASIA LEAVES (black variety),6.8
COLOCASIA LEAVES (green variety),3.9
COLACASIA LEAVES (dried),13.7
CORIANDER LEAVES,3.3
COW PEA LEAVES,3.4
CURRY LEAVES,6.1
DRUMSTICK LEAVES,6.7
FENUGREEK LEAVES,4.4
"FETID CASSIA, fresh",5.0
FETID CASSIA (dried),20.7
GARDEN CRESS,5.8
GARDEN SORREL (sepals),0.6
GOGU,1.7
IPOMOEA STEMS,0.9
IPOMOEA LEAVES,2.9
KNOL-KHOL GREENS,3.5
KUPPAMENI,6.7
LETTUCE,2.1
"LETTUCE TREE LEAVES, mature",5.1
"LETTUCE TREE LEAVES, tender",3.6
MENATHAKKALI LEAVES,5.9
MAYALU,2.8
MINT,4.8
MODAKANTHAN KEERAI,4.7
MUKARRATE KEERAI,6.1
MUSTARD LEAVES,4.0
NEERINGI,7.2
PARSLEY,5.9
PARUPPU KEERAI,2.4
PONNANGANNI,5.0
PUMPKIN LEAVES,4.6
RADISH LEAVES,3.8
TABLE RADISH LEAVES,3.9
RAPE LEAVES,3.1
RAPE LEAVES,5.1
RAPE LEAVES (dried),27.0
SAFFLOWER LEAVES,2.5
SHEPU,3.0
SPINACH,2.0
SPINACH stalks,0.9
SUSNI SAG,3.7
"TAMARIND LEAVES, tender",5.8
TURNIP GREENS,4.0
ARROW ROOT FLOUR,0.2
BANANA RHIZOME,0.4
BEET ROOT,1.7
CARROT,0.9
COLOCASIA,3.0
KHAMALU,1.3
MANGO GINGER,1.1
"ONION, big",1.2
"ONION, small",1.8
PARSNIP,1.3
POTATO,1.6
"RADISH, pink",0.6
RADISH rat-tailed,1.3
"RADHISH, table",0.5
"RADISH, white",0.7
SWEET POTATO,1.2
TAPIOCA,0.7
"TAPIOCA, chips, dried",1.3
TURNIP,0.5
"YAM, elephant",1.2
"YAM, ordinary",1.4
"YAM, wild",2.5
ASH GUARD,0.4
"BEANS, scarlet runner",7.4
BITTER GOURD,1.6
"BITTER GOURD, small",2.1
BOTTLE GOURD,0.2
BRINJAL,1.4
BROAD BEANS,4.5
CAULIFLOWER,2.6
CHO-CHO-MARROW,0.7
CLUSTER BEANS,3.2
COLOCASIA STEM,0.3
COW PEA PODS,3.5
CUCUMBER,0.4
DOUBLE BEANS,8.3
DRUM STICK,2.5
DRUMSTICK flowers,3.6
"FIELD BEANS, tender",3.8
"FIGS, red (Ficus cunia)",1.2
FRENCH BEANS,1.7
GHOSALA,1.2
GIANT CHILLIES (capsicum),1.3
"JACK, tender",2.6
"JACK, fruit seed",6.6
KANKODA,3.1
KARONDA fresh,1.1
KARONDA dry,2.3
KHEKSA,0.6
KOVAI,1.2
KNOL-KHOL,1.1
LADIES FINGERS,1.9
"LAKUCH, raw",1.6
LEEKS,1.8
"LOTUS STEM, dry",4.1
MANGO GREEN,0.7
ONION STALKS,0.9
PAPAYA GREEN,0.7
PARWAR,2.0
PINK BEANS,3.1
PLANTAIN FLOWER,1.7
"PLANTAIN, green",1.4
"PLANTAIN, stem",0.5
PUMPKIN,1.4
PUMPKIN flowers,2.2
RIDGE GOURD,0.5
SNAKE GOURD,0.5
"SUNDAKAI, dry",8.3
SWORD BEANS,2.7
"TINDA, tender",1.4
"TOMOTO, green",1.9
VEGETABLE MARROW,0.5
"WATER CHEST NUT, fresh",4.7
"WATER CHESTNUT, dry",13.4
ALMOND,20.8
ARECANUT,4.9
AVOCADOPEAR (nut),2.5
CASHEWNUT,21.2
CHILGOZA,13.9
"COCONUT,dry",6.8
"COCONUT, fresh",4.5
COCONUT tender,0.9
"COCONUT, milk",3.4
"COCONUT, water",1.4
"COCONUT, meal deoiled",23.8
GARDEN CRESS SEEDS,25.3
GINGELLY SEEDS,18.3
GROUNDNUT,25.3
"GROUNDNUT, roasted",26.2
GROUNDNUT CAKE,40.9
LINSEED,20.3
