Food Name,Carotene(µg),Thiamine(mg),Riboflavin(mg),Niacin(mg),Folicacid(mg),Folicfree(mg),Vitamin-C(mg),Choline-(mg)
BAJRA,132,0.3,0.3,2.3,45.5,14.7,0.0,0.0
BARLEY,10,0.5,0.2,5.4,0.0,0.0,0.0,0.0
ITALIAN MILLET,32,0.6,0.1,3.2,15.0,4.2,0.0,0.0
JOWAR,47,0.4,0.1,3.1,20.0,14.0,0.0,0.0
"MAIZE,dry",90,0.4,0.1,1.8,20.0,14.0,0.0,0.0
"MAIZE, tender",32,0.1,0.2,0.6,0.0,0.0,6.0,0.0
PANIVARAGU,0,0.2,0.2,2.3,0.0,0.0,0.0,748.0
RAGI,42,0.4,0.2,1.1,18.3,5.2,0.0,0.0
"RICE, parboiled, handpounded",9,0.3,0.1,4.0,0.0,0.0,0.0,0.0
"RICE, parboiled,milled",0,0.2,0.1,3.8,11.0,8.9,0.0,0.0
"RICE, raw, handpounded",2,0.2,0.2,3.9,0.0,0.0,0.0,77.0
"RICE, raw, milled",0,0.1,0.1,1.9,8.0,4.1,0.0,0.0
"RICE, bran",0,2.7,0.5,29.8,0.0,0.0,0.0,0.0
"RICE, flakes",0,0.2,0.1,4.0,0.0,0.0,0.0,0.0
"RICE, puffed",0,0.2,0.0,4.1,0.0,0.0,0.0,0.0
SAMAI,0,0.3,0.1,3.2,9.0,2.2,0.0,0.0
SANWA MILLET,0,0.3,0.1,4.2,0.0,0.0,0.0,0.0
VARAGU,0,0.3,0.1,2.0,23.1,7.4,0.0,0.0
"WHEAT, bulgar (parboiled)",0,0.7,0.1,4.8,0.0,0.0,0.0,206.0
"WHEAT, whole",64,0.5,0.2,5.5,36.6,14.2,0.0,0.0
"WHEAT, flour(whole)",29,0.5,0.2,4.3,35.8,12.1,0.0,0.0
"WHEAT, flour(refined)",25,0.1,0.1,2.4,0.0,0.0,0.0,0.0
"WHEAT, germ",0,1.4,0.5,2.9,0.0,0.0,0.0,0.0
"WHEAT, semolina",0,0.1,0.0,1.6,0.0,0.0,0.0,0.0
"WHEAT, vermicelli",0,0.2,0.1,1.8,0.0,0.0,0.0,0.0
"WHEAT, bread, (brown)",0,0.2,0.0,2.5,0.0,0.0,0.0,0.0
"WHEAT, bread, (white)",0,0.1,0.0,0.7,0.0,0.0,0.0,0.0
"BENGAL GRAM, whole",189,0.3,0.1,2.9,186.0,34.0,3.0,194.0
"BENGAL GRAM, dhal",129,0.5,0.2,2.4,147.5,32.0,1.0,0.0
"BENGAL GRAM, roasted",113,0.2,0.0,1.3,139.0,22.0,0.0,0.0
"BLACK GRAM, dhal",38,0.4,0.2,2.0,132.0,24.0,0.0,206.0
